RUNANIMATION,ALAnimationPlayerProxy/runTag
GOTOPOSTURE,ALRobotPostureProxy/goToPosture
DETECTNEWFACE,ALFaceDetection/learnFace
GETFACELIST,ALFaceDetection/getLearnedFacesList
ACTIVATEBLINKING,AutonomousBlinkingProxy/setEnabled
ACTIVATELIFESIGNALS,ALBackgroundMovementProxy/setEnabled
ACTIVATELIFESGINALSINT,ALBasicAwarenessProxy/setEnabled
DEFENGAGEMENTTYPE,ALBasicAwarenessProxy/setEngagementMode
ACTIVATEACTIVEHEARING,ALListeningMovementProxy/setEnabled
ACTIVATESPEAKMOVEMENTS,ALSpeakingMovementProxy/setEnabled
DEFCONVERSATIONMODE,ALSpeakingMovementProxy/setMode
ACTIVATEPUSHREFLEXES,ALMotionProxy/setPushRecoveryEnabled
ACIVATEBREATHMOV,ALMotionProxy/setBreathEnabled(“Body”)
ACTIVATEMOVDETECTION,ALPeoplePerception/setMovementDetectionEnabled
ACTIVATEFACEDETEC,ALFaceDetection/setRecognitionEnabled
ACTIVATECOLISSIONDETECT,ALMotionProxy/setCollisionProtectionEnabled
ACTIVATEMONITORINGCHARGESERV,ALBatteryProxy/enablePowerMonitoring
GETBATTERY,ALBatteryProxy/getBatteryCharge
GETTEMP,ALBodyTemperatureProxy/getTemperatureDiagnosis()
GETEMOTIONSTATE,ALMood/currentPersonState
LOGIN,ALUserSession/getOpenUserSessions
SEARCHFREEZONE,ALNavigationProxy/findFreeZone
GETFREEZONES,ALNavigationProxy/getFreeZone
GETROBOTPOSITION,ALLocalization/getRobotPosition
MOVE,ALMotionProxy/move
MOVEFORWARD,ALMotionProxy/moveTo
MOVETO,ALNavigationProxy/navigateTo
MOVETOPOSITION,ALLocalization/goToPosition
WAKEUP,ALMotionProxy/wakeup
SUSPEND,ALMotionProxy/rest
SETREFRESHTIMESENSORS,ALSensorsProxy/updatePeriod
ACTIVATERASTA,ALLedsProxy/rasta
RANDOMEYES,ALLedsProxy/randomEyes
SETLEDSINTENSITY,ALLedsProxy/setIntensity
CHANGELEDCOLOR,ALLedsProxy/fadeRGB
ACTIVATESTIFFNESS,ALMotionProxy/setSmartStiffnessEnabled
TABLETON,AlTabletService/turnScreenOn(true)
WAKETABLET,AlTabletService/wakeUp
SUSPENDTABLET,AlTabletService/goToSleep
TABLETOFF,AlTabletService/turnScreenOn(false) 
SHOWVIDEO,ALTabletService/playVideo  
QUITVIDEO,ALTabletService/stopVideo 
PAUSEVIDEO,ALTabletService/pauseVideo 
RESUMEVIDEO,ALTabletService/resumeVideo 
PRELOADIMG,ALTabletService/preLoadImage
SHOWIMG,ALTabletService/showImage   
HIDEIMG,ALTabletService/hideImage 
SETTABLETBRIGHT,ALTabletService/setBrightness 
SETTABLETVOL,ALTabletService/setVolume
SAY,ALTextToSpeech/say 
SETSAYVOLUME,ALTextToSpeech/setVolume 
SAYWITHMOVEMENT,ALAnimatedSpeec/say
SETSYSTEMVOLUME,ALAudioDevice/setOutputVolume 
PLAYSOUND,ALAudioPlayer/playFile 
PAUSESOUND,ALAudioPlayer/pause 
ACTIVATEVOICEEMOANAL,ALVoiceEmotionAnalysis/subscribe 
DESACTIVVOICEEMOANAL,ALVoiceEmotionAnalysis/unsubscribe 
ACTVOICERECOG,ALSpeechRecognition/subscribe 
DESACTVOICERECOG,ALSpeechRecognition/unsubscribe 
LOADCONVTOPIC,ALDialogProxy/LoadTopic
ACTIVATECONVTOPIC,ALDialogProxy/activateTopic
DEACTCONVTOPIC,ALDialogProxy/deactivateTopic
UNLOADCONVTOPIC,ALDialogProxy/unloadTopic
SAYUNDERTOPICCONTEXT,ALDialogProxy/say 
SETTOPICFOCUS,ALDialogProxy/setFocus 
